business_id,user_id,stars
i_oghUPqLzzJtxC6Zm-D2A,-8nmj3B-tfY_vFiimtBOsw,5.0
i_oghUPqLzzJtxC6Zm-D2A,11V_zUrpadPKvPQpQ-Ctiw,4.0
i_oghUPqLzzJtxC6Zm-D2A,3AqRjAvCdBiM6s0f58A5eA,5.0
i_oghUPqLzzJtxC6Zm-D2A,LN4ajhAiIshKkXJQhuh6uA,4.0
i_oghUPqLzzJtxC6Zm-D2A,T6_H4brErsgxmUEvv9VLOg,3.0
i_oghUPqLzzJtxC6Zm-D2A,Y_h-nrOIIZWBF-AFzdQbgQ,4.0
i_oghUPqLzzJtxC6Zm-D2A,Yi-8TQFAKnmDZvc5gvrKMw,4.0
i_oghUPqLzzJtxC6Zm-D2A,_4NHePAXLhcloTD04wqpqw,3.0
i_oghUPqLzzJtxC6Zm-D2A,cB4YGv6Yg3IYXAIjwpdl1Q,4.0
i_oghUPqLzzJtxC6Zm-D2A,cnn2hU3PnMikCs03Bmhw1Q,4.0
i_oghUPqLzzJtxC6Zm-D2A,gqNGddBl1xK5uLXrOG2pDA,4.0
i_oghUPqLzzJtxC6Zm-D2A,h-Rkb6xGKICczE4OWe_wFw,4.0
i_oghUPqLzzJtxC6Zm-D2A,n9rgFCHVJf8JRPuW-oCPDA,4.0
i_oghUPqLzzJtxC6Zm-D2A,qZn4-4_ApTfiJHRTSwJAlQ,4.0
i_oghUPqLzzJtxC6Zm-D2A,t3E47Ed0w-31q0QY6TGHMw,5.0
i_oghUPqLzzJtxC6Zm-D2A,vGohRKrqPgCJak3Jp6nGMA,4.0
i_oghUPqLzzJtxC6Zm-D2A,zL-y2UwwhlPf7VK8Bhevrw,5.0
SWX0K1dpy4fcRq-ktZxmCg,Pf2lMKHB8Gb5OUxVjMkRTw,4.0
SWX0K1dpy4fcRq-ktZxmCg,Wc5L6iuvSNF5WGBlqIO8nw,4.0
spi9UEWyNrq2O4y5DD84LA,70JHliVId4FzY2_29gocHw,4.0
spi9UEWyNrq2O4y5DD84LA,TZD8G-FC3XUPJeTGYQzX1Q,5.0
spi9UEWyNrq2O4y5DD84LA,UVxY0iyPaqY7s4BSFtt-xA,4.0
spi9UEWyNrq2O4y5DD84LA,itgEZrqEtsaMfAp8nJ_Nig,2.0
spi9UEWyNrq2O4y5DD84LA,lGhtC6yJlzfDUe4wjZ6ArA,5.0
spi9UEWyNrq2O4y5DD84LA,mmMHddt7e5B4ukeLVIE-lQ,4.0
spi9UEWyNrq2O4y5DD84LA,nvfY_ykKJ2hQwYUFhnZ0sw,3.0
LF66oShCh30k5NOV6pPJTQ,49jmhFTzWo58EhGn0jg_sQ,5.0
LF66oShCh30k5NOV6pPJTQ,6yTV_iirY6r21EeTRGPGqA,5.0
LF66oShCh30k5NOV6pPJTQ,EepVyGQFBKjuJw1dorttyw,5.0
LF66oShCh30k5NOV6pPJTQ,FCtJ0J9ujf7qf1yMxSYPrA,4.0
LF66oShCh30k5NOV6pPJTQ,LL0zO4cQUjCqqOM9CbvnQg,4.0
LF66oShCh30k5NOV6pPJTQ,RsQWIQFPX4IPGNa2i5PMdA,4.0
LF66oShCh30k5NOV6pPJTQ,_KEmccOyQLiPW3sMUg_9aw,4.0
LF66oShCh30k5NOV6pPJTQ,aR7F6JaHjsYW_j5Biih0rQ,5.0
LF66oShCh30k5NOV6pPJTQ,dxZJaS858DFT9sMVAElYrw,5.0
LF66oShCh30k5NOV6pPJTQ,e30nkqMd2leReeIllmQdfw,4.0
LF66oShCh30k5NOV6pPJTQ,eQvM4HYpRT4gR_uHJ0euVQ,4.0
LF66oShCh30k5NOV6pPJTQ,qKpkRCPk4ycbllTfFcRbNw,5.0
5GXKxdlJQOrmoPe0GXzJNA,4YDE_B5VWhCa8sbkUmEkVg,3.0
5GXKxdlJQOrmoPe0GXzJNA,82vSXGC55BOPssPCs5ea4w,2.0
5GXKxdlJQOrmoPe0GXzJNA,FQo8HxOxlhMgDQod9NwfHQ,2.0
5GXKxdlJQOrmoPe0GXzJNA,KcFMI-hsr2Em7whfI4OM5g,1.0
5GXKxdlJQOrmoPe0GXzJNA,Wc5L6iuvSNF5WGBlqIO8nw,4.0
5GXKxdlJQOrmoPe0GXzJNA,bG2dLL-UvHZeuW1LTahvsw,4.0
5GXKxdlJQOrmoPe0GXzJNA,sFJjEc7ytSUV28Y7PpdMjQ,4.0
CodoVn98WzIP2_NC18NuCw,-y8mv6-8C-IJWsy00EWAfA,3.0
CodoVn98WzIP2_NC18NuCw,2av488ePvb-Z4qgeNDpWCg,3.0
